symbol,recon_date,entry_date,entry_price,exit_date,exit_price,exit_type,hold_days,gross_return,toxic_type,conditions_met,exit_struct,label,net_optimistic,net_base,net_conservative,net_stress,net_base_fund_low,net_base_fund_base,net_base_fund_high,net_base_fund_extreme
WIF-USD,2024-03-31,2024-04-01,4.588222026824951,2024-04-03,3.670577621459961,TP,2,0.19999999999999998,random,0,S2,random,0.19867123287671232,0.19667123287671232,0.1936712328767123,0.1876712328767123,0.19683561643835615,0.19667123287671232,0.19645205479452052,0.1959041095890411
BONK-USD,2024-03-31,2024-04-01,2.8000000384054147e-05,2024-04-02,2.2400000307243318e-05,TP,1,0.19999999999999998,random,0,S2,random,0.19883561643835615,0.19683561643835615,0.19383561643835615,0.18783561643835614,0.19691780821917806,0.19683561643835615,0.19672602739726025,0.19645205479452052
JTO-USD,2024-03-31,2024-04-01,4.099878787994385,2024-04-02,4.5918642425537115,SL,1,-0.12000000000000013,random,0,S2,random,-0.12116438356164397,-0.12316438356164397,-0.12616438356164397,-0.13216438356164398,-0.12308219178082205,-0.12316438356164397,-0.12327397260273987,-0.12354794520547958
PYTH-USD,2024-03-31,2024-04-01,1.0004669427871704,2024-04-05,0.8003735542297363,TP,4,0.2,random,0,S2,random,0.19834246575342468,0.19634246575342468,0.19334246575342467,0.18734246575342467,0.19667123287671234,0.19634246575342468,0.19590410958904111,0.1948082191780822
ORCA-USD,2024-03-31,2024-04-01,4.17210578918457,2024-04-09,3.3376846313476562,TP,8,0.2,random,0,S2,random,0.19768493150684932,0.19568493150684932,0.19268493150684932,0.1866849315068493,0.19634246575342468,0.19568493150684932,0.1948082191780822,0.1926164383561644
RENDER-USD,2024-03-31,2024-04-01,10.658348083496094,2024-04-12,8.526678466796875,TP,11,0.19999999999999996,random,0,S2,random,0.19719178082191777,0.19519178082191777,0.19219178082191776,0.18619178082191776,0.19609589041095885,0.19519178082191777,0.19398630136986297,0.190972602739726
JUP-USD,2024-03-31,2024-04-01,0.001193000003695488,2024-04-03,0.0013361600041389466,SL,2,-0.12000000000000009,random,0,S2,random,-0.12132876712328776,-0.12332876712328776,-0.12632876712328775,-0.13232876712328775,-0.12316438356164393,-0.12332876712328776,-0.12354794520547954,-0.124095890410959
KMNO-USD,2024-03-31,2024-04-30,0.04274599999189377,2024-05-01,0.047875519990921024,SL,1,-0.12000000000000008,random,0,S2,random,-0.12116438356164391,-0.12316438356164391,-0.12616438356164392,-0.13216438356164392,-0.123082191780822,-0.12316438356164391,-0.12327397260273981,-0.12354794520547953
FARTCOIN-USD,2024-03-31,2024-10-23,0.06218799948692322,2024-10-24,0.06965055942535402,SL,1,-0.1200000000000002,random,0,S2,random,-0.12116438356164404,-0.12316438356164404,-0.12616438356164403,-0.13216438356164403,-0.12308219178082212,-0.12316438356164404,-0.12327397260273994,-0.12354794520547965
ZEREBRO-USD,2024-03-31,2024-11-30,0.4539720118045807,2024-12-01,0.36317760944366456,TP,1,0.19999999999999998,random,0,S2,random,0.19883561643835615,0.19683561643835615,0.19383561643835615,0.18783561643835614,0.19691780821917806,0.19683561643835615,0.19672602739726025,0.19645205479452052
BOME-USD,2024-03-31,2024-04-01,0.014545000158250332,2024-04-02,0.01629040017724037,SL,1,-0.12,random,0,S2,random,-0.12116438356164383,-0.12316438356164383,-0.12616438356164383,-0.13216438356164384,-0.12308219178082191,-0.12316438356164383,-0.12327397260273973,-0.12354794520547945
CLOUD-USD,2024-03-31,2024-04-01,0.0005549999768845737,2024-04-02,0.000443999981507659,TP,1,0.19999999999999993,random,0,S2,random,0.1988356164383561,0.1968356164383561,0.1938356164383561,0.18783561643835608,0.196917808219178,0.1968356164383561,0.1967260273972602,0.19645205479452046
TNSR-USD,2024-03-31,2024-04-08,2.255194902420044,2024-04-09,1.8041559219360352,TP,1,0.19999999999999996,random,0,S2,random,0.19883561643835612,0.19683561643835612,0.19383561643835612,0.1878356164383561,0.19691780821917804,0.19683561643835612,0.19672602739726022,0.1964520547945205
W-USD,2024-03-31,2024-04-01,60.27998733520508,2024-04-02,67.51358581542969,SL,1,-0.12000000000000008,random,0,S2,random,-0.12116438356164391,-0.12316438356164391,-0.12616438356164392,-0.13216438356164392,-0.123082191780822,-0.12316438356164391,-0.12327397260273981,-0.12354794520547953
MNDE-USD,2024-03-31,2024-04-01,0.3057529926300049,2024-04-10,0.24460239410400392,TP,9,0.19999999999999996,random,0,S2,random,0.19752054794520543,0.19552054794520543,0.19252054794520543,0.18652054794520542,0.1962602739726027,0.19552054794520543,0.1945342465753424,0.1920684931506849
CHILLGUY-USD,2024-03-31,2024-12-01,0.44291600584983826,2024-12-03,0.4960659265518189,SL,2,-0.12000000000000015,random,0,S2,random,-0.12132876712328781,-0.12332876712328782,-0.1263287671232878,-0.1323287671232878,-0.12316438356164398,-0.12332876712328782,-0.1235479452054796,-0.12409589041095906
ACT-USD,2024-03-31,2024-04-01,0.0017839999636635184,2024-05-01,0.0014271999709308148,TP,30,0.19999999999999998,random,0,S2,random,0.19406849315068492,0.19206849315068492,0.1890684931506849,0.1830684931506849,0.19453424657534243,0.19206849315068492,0.1887808219178082,0.18056164383561643
TRUMP-USD,2024-03-31,2024-04-01,0.00227600010111928,2024-04-05,0.001820800080895424,TP,4,0.19999999999999993,random,0,S2,random,0.1983424657534246,0.1963424657534246,0.1933424657534246,0.1873424657534246,0.19667123287671226,0.1963424657534246,0.19590410958904103,0.1948082191780821
PNUT-USD,2024-03-31,2024-11-04,0.053856998682022095,2024-11-05,0.06031983852386475,SL,1,-0.12000000000000009,random,0,S2,random,-0.12116438356164393,-0.12316438356164393,-0.12616438356164392,-0.13216438356164392,-0.12308219178082201,-0.12316438356164393,-0.12327397260273983,-0.12354794520547954
GOAT-USD,2024-03-31,2024-04-01,23.490169525146484,2024-04-02,26.308989868164065,SL,1,-0.12000000000000012,random,0,S2,random,-0.12116438356164395,-0.12316438356164396,-0.12616438356164394,-0.13216438356164395,-0.12308219178082204,-0.12316438356164396,-0.12327397260273985,-0.12354794520547957
AI16Z-USD,2024-03-31,2024-11-23,0.21006500720977783,2024-11-24,0.23527280807495118,SL,1,-0.12000000000000006,random,0,S2,random,-0.1211643835616439,-0.1231643835616439,-0.1261643835616439,-0.1321643835616439,-0.12308219178082198,-0.1231643835616439,-0.1232739726027398,-0.12354794520547951
VIRTUAL-USD,2024-03-31,2024-04-01,0.13344299793243408,2024-04-02,0.14945615768432619,SL,1,-0.1200000000000001,random,0,S2,random,-0.12116438356164394,-0.12316438356164394,-0.12616438356164394,-0.13216438356164395,-0.12308219178082203,-0.12316438356164394,-0.12327397260273984,-0.12354794520547956
