symbol,recon_date,entry_date,entry_price,exit_date,exit_price,exit_type,hold_days,gross_return,toxic_type,conditions_met,exit_struct,label,net_optimistic,net_base,net_conservative,net_stress,net_base_fund_low,net_base_fund_base,net_base_fund_high,net_base_fund_extreme
PYTH-USD,2024-04-30,2024-05-01,0.5173479914665222,2024-05-05,0.5794297504425049,SL,4,-0.12000000000000001,strict,4,S2,primary,-0.12165753424657536,-0.12365753424657536,-0.12665753424657533,-0.13265753424657534,-0.12332876712328768,-0.12365753424657536,-0.12409589041095892,-0.12519178082191781
ACT-USD,2024-05-31,2024-06-01,0.0008019999950192869,2024-06-06,0.0006415999960154295,TP,5,0.2,strict,4,S2,primary,0.19817808219178082,0.19617808219178082,0.19317808219178081,0.1871780821917808,0.19658904109589043,0.19617808219178082,0.19563013698630138,0.19426027397260276
CLOUD-USD,2024-06-30,2024-07-01,0.00010299999848939478,2024-07-04,0.00010299999848939478,MAXHOLD,3,0.0,strict,4,S2,primary,-0.0014931506849315069,-0.003493150684931507,-0.006493150684931507,-0.012493150684931507,-0.0032465753424657535,-0.003493150684931507,-0.0038219178082191784,-0.004643835616438357
TRUMP-USD,2024-07-31,2024-08-01,0.002865999937057495,2024-08-12,0.0032099199295043948,SL,11,-0.12000000000000008,strict,4,S2,primary,-0.12280821917808227,-0.12480821917808227,-0.12780821917808227,-0.13380821917808228,-0.12390410958904118,-0.12480821917808227,-0.12601369863013706,-0.12902739726027407
TNSR-USD,2024-08-31,2024-09-01,0.3086189925670624,2024-09-08,0.3456532716751099,SL,7,-0.1200000000000001,strict,4,S2,primary,-0.12215068493150695,-0.12415068493150695,-0.12715068493150697,-0.13315068493150697,-0.12357534246575354,-0.12415068493150695,-0.1249178082191782,-0.12683561643835628
W-USD,2024-10-31,2024-11-01,0.2226410061120987,2024-11-07,0.24935792684555055,SL,6,-0.12000000000000008,strict,4,S2,primary,-0.12198630136986309,-0.12398630136986309,-0.1269863013698631,-0.1329863013698631,-0.1234931506849316,-0.12398630136986309,-0.12464383561643844,-0.1262876712328768
ACT-USD,2024-10-31,2024-11-01,0.0008319999906234443,2024-11-06,0.0009318399894982577,SL,5,-0.12000000000000008,strict,4,S2,primary,-0.12182191780821926,-0.12382191780821926,-0.12682191780821928,-0.13282191780821928,-0.12341095890410968,-0.12382191780821926,-0.1243698630136987,-0.12573972602739733
TNSR-USD,2024-12-31,2025-01-01,0.43421000242233276,2025-01-03,0.48631520271301276,SL,2,-0.12000000000000015,strict,4,S2,primary,-0.12132876712328781,-0.12332876712328782,-0.1263287671232878,-0.1323287671232878,-0.12316438356164398,-0.12332876712328782,-0.1235479452054796,-0.12409589041095906
CHILLGUY-USD,2024-12-31,2025-01-01,0.15807700157165527,2025-01-02,0.17704624176025394,SL,1,-0.12000000000000019,strict,4,S2,primary,-0.12116438356164402,-0.12316438356164403,-0.12616438356164403,-0.13216438356164403,-0.12308219178082211,-0.12316438356164403,-0.12327397260273992,-0.12354794520547964
PNUT-USD,2024-12-31,2025-01-01,0.6710609793663025,2025-01-03,0.7515882968902589,SL,2,-0.12000000000000009,strict,4,S2,primary,-0.12132876712328776,-0.12332876712328776,-0.12632876712328775,-0.13232876712328775,-0.12316438356164393,-0.12332876712328776,-0.12354794520547954,-0.124095890410959
