exit_structure,funding_scenario,mean_return
S1,low,0.014997995322418942
S1,base,0.014703307718008657
S1,high,0.014310390912128265
S1,extreme,0.013328098897427297
S2,low,0.03560942198463073
S2,base,0.03519445372535909
S2,high,0.03464116271299692
S2,extreme,0.03325793518209147
S3,low,0.05494119612429005
S3,base,0.054345806882726416
S3,high,0.05355195456064154
S3,extreme,0.05156732375542938
