symbol,recon_date,entry_date,entry_price,exit_date,exit_price,exit_type,hold_days,gross_return,toxic_type,conditions_met,exit_struct,label,net_optimistic,net_base,net_conservative,net_stress,net_base_fund_low,net_base_fund_base,net_base_fund_high,net_base_fund_extreme
WIF-USD,2024-03-31,2024-04-01,4.588222026824951,2024-04-02,3.8999887228012082,TP,1,0.15000000000000005,random,0,S1,random,0.14883561643835622,0.14683561643835621,0.1438356164383562,0.1378356164383562,0.14691780821917813,0.14683561643835621,0.14672602739726032,0.1464520547945206
BONK-USD,2024-03-31,2024-04-01,2.8000000384054147e-05,2024-04-02,2.3800000326446023e-05,TP,1,0.15000000000000008,random,0,S1,random,0.14883561643835624,0.14683561643835624,0.14383561643835624,0.13783561643835623,0.14691780821917816,0.14683561643835624,0.14672602739726034,0.14645205479452061
JTO-USD,2024-03-31,2024-04-01,4.099878787994385,2024-04-02,4.509866666793823,SL,1,-0.10000000000000005,random,0,S1,random,-0.10116438356164388,-0.10316438356164388,-0.10616438356164389,-0.11216438356164388,-0.10308219178082197,-0.10316438356164388,-0.10327397260273978,-0.1035479452054795
PYTH-USD,2024-03-31,2024-04-01,1.0004669427871704,2024-04-02,0.8503969013690948,TP,1,0.15,random,0,S1,random,0.14883561643835616,0.14683561643835616,0.14383561643835616,0.13783561643835615,0.14691780821917808,0.14683561643835616,0.14672602739726026,0.14645205479452053
ORCA-USD,2024-03-31,2024-04-01,4.17210578918457,2024-04-05,3.5462899208068848,TP,4,0.15,random,0,S1,random,0.14834246575342466,0.14634246575342466,0.14334246575342466,0.13734246575342465,0.14667123287671233,0.14634246575342466,0.1459041095890411,0.14480821917808218
RENDER-USD,2024-03-31,2024-04-01,10.658348083496094,2024-04-05,9.059595870971679,TP,4,0.1500000000000001,random,0,S1,random,0.14834246575342477,0.14634246575342477,0.14334246575342477,0.13734246575342476,0.14667123287671244,0.14634246575342477,0.1459041095890412,0.1448082191780823
JUP-USD,2024-03-31,2024-04-01,0.001193000003695488,2024-04-03,0.001312300004065037,SL,2,-0.1000000000000001,random,0,S1,random,-0.10132876712328777,-0.10332876712328777,-0.10632876712328777,-0.11232876712328776,-0.10316438356164394,-0.10332876712328777,-0.10354794520547955,-0.10409589041095901
KMNO-USD,2024-03-31,2024-04-30,0.04274599999189377,2024-05-01,0.04702059999108315,SL,1,-0.1000000000000001,random,0,S1,random,-0.10116438356164394,-0.10316438356164394,-0.10616438356164394,-0.11216438356164393,-0.10308219178082202,-0.10316438356164394,-0.10327397260273984,-0.10354794520547955
FARTCOIN-USD,2024-03-31,2024-10-23,0.06218799948692322,2024-10-24,0.06840679943561555,SL,1,-0.10000000000000013,random,0,S1,random,-0.10116438356164396,-0.10316438356164397,-0.10616438356164397,-0.11216438356164396,-0.10308219178082205,-0.10316438356164397,-0.10327397260273986,-0.10354794520547958
ZEREBRO-USD,2024-03-31,2024-11-30,0.4539720118045807,2024-12-01,0.38587621003389355,TP,1,0.15000000000000008,random,0,S1,random,0.14883561643835624,0.14683561643835624,0.14383561643835624,0.13783561643835623,0.14691780821917816,0.14683561643835624,0.14672602739726034,0.14645205479452061
BOME-USD,2024-03-31,2024-04-01,0.014545000158250332,2024-04-02,0.015999500174075365,SL,1,-0.1,random,0,S1,random,-0.10116438356164384,-0.10316438356164384,-0.10616438356164384,-0.11216438356164384,-0.10308219178082192,-0.10316438356164384,-0.10327397260273974,-0.10354794520547946
CLOUD-USD,2024-03-31,2024-04-01,0.0005549999768845737,2024-04-02,0.00047174998035188765,TP,1,0.14999999999999997,random,0,S1,random,0.14883561643835613,0.14683561643835613,0.14383561643835613,0.13783561643835612,0.14691780821917805,0.14683561643835613,0.14672602739726023,0.1464520547945205
TNSR-USD,2024-03-31,2024-04-08,2.255194902420044,2024-04-09,1.9169156670570373,TP,1,0.15000000000000002,random,0,S1,random,0.1488356164383562,0.1468356164383562,0.14383561643835618,0.13783561643835618,0.1469178082191781,0.1468356164383562,0.1467260273972603,0.14645205479452056
W-USD,2024-03-31,2024-04-01,60.27998733520508,2024-04-02,66.3079860687256,SL,1,-0.10000000000000019,random,0,S1,random,-0.10116438356164402,-0.10316438356164402,-0.10616438356164402,-0.11216438356164402,-0.1030821917808221,-0.10316438356164402,-0.10327397260273992,-0.10354794520547964
MNDE-USD,2024-03-31,2024-04-01,0.3057529926300049,2024-04-09,0.2598900437355041,TP,8,0.1500000000000001,random,0,S1,random,0.14768493150684942,0.1456849315068494,0.1426849315068494,0.1366849315068494,0.14634246575342477,0.1456849315068494,0.1448082191780823,0.1426164383561645
CHILLGUY-USD,2024-03-31,2024-12-01,0.44291600584983826,2024-12-02,0.3764786049723625,TP,1,0.15,random,0,S1,random,0.14883561643835616,0.14683561643835616,0.14383561643835616,0.13783561643835615,0.14691780821917808,0.14683561643835616,0.14672602739726026,0.14645205479452053
ACT-USD,2024-03-31,2024-04-01,0.0017839999636635184,2024-04-17,0.0015163999691139905,TP,16,0.15000000000000008,random,0,S1,random,0.1463698630136987,0.1443698630136987,0.1413698630136987,0.1353698630136987,0.14568493150684939,0.1443698630136987,0.14261643835616447,0.13823287671232884
