exit_structure,cost_level,mean_return
S1,optimistic,0.01670330771800866
S1,base,0.014703307718008657
S1,conservative,0.011703307718008654
S1,stress,0.005703307718008655
S2,optimistic,0.037194453725359095
S2,base,0.03519445372535909
S2,conservative,0.0321944537253591
S2,stress,0.02619445372535909
S3,optimistic,0.05634580688272641
S3,base,0.054345806882726416
S3,conservative,0.05134580688272641
S3,stress,0.0453458068827264
