symbol,recon_date,entry_date,entry_price,exit_date,exit_price,exit_type,hold_days,gross_return,toxic_type,conditions_met,exit_struct,label,net_optimistic,net_base,net_conservative,net_stress,net_base_fund_low,net_base_fund_base,net_base_fund_high,net_base_fund_extreme
PYTH-USD,2024-04-30,2024-05-01,0.5173479914665222,2024-05-19,0.38801099359989166,TP,18,0.25,strict,4,S3,primary,0.24604109589041095,0.24404109589041095,0.24104109589041095,0.23504109589041094,0.24552054794520548,0.24404109589041095,0.24206849315068493,0.23713698630136987
ACT-USD,2024-05-31,2024-06-01,0.0008019999950192869,2024-06-12,0.0006014999962644652,TP,11,0.25,strict,4,S3,primary,0.2471917808219178,0.2451917808219178,0.2421917808219178,0.2361917808219178,0.2460958904109589,0.2451917808219178,0.24398630136986302,0.24097260273972604
CLOUD-USD,2024-06-30,2024-07-01,0.00010299999848939478,2024-07-04,0.00010299999848939478,MAXHOLD,3,0.0,strict,4,S3,primary,-0.0014931506849315069,-0.003493150684931507,-0.006493150684931507,-0.012493150684931507,-0.0032465753424657535,-0.003493150684931507,-0.0038219178082191784,-0.004643835616438357
TRUMP-USD,2024-07-31,2024-08-01,0.002865999937057495,2024-08-12,0.003295899927616119,SL,11,-0.14999999999999988,strict,4,S3,primary,-0.15280821917808207,-0.15480821917808207,-0.15780821917808208,-0.16380821917808208,-0.153904109589041,-0.15480821917808207,-0.15601369863013687,-0.15902739726027387
TNSR-USD,2024-08-31,2024-09-01,0.3086189925670624,2024-09-13,0.35491184145212173,SL,12,-0.15,strict,4,S3,primary,-0.15297260273972602,-0.15497260273972602,-0.15797260273972602,-0.16397260273972603,-0.15398630136986302,-0.15497260273972602,-0.1562876712328767,-0.15957534246575342
W-USD,2024-10-31,2024-11-01,0.2226410061120987,2024-11-09,0.2560371570289135,SL,8,-0.15,strict,4,S3,primary,-0.15231506849315068,-0.1543150684931507,-0.1573150684931507,-0.1633150684931507,-0.15365753424657533,-0.1543150684931507,-0.1551917808219178,-0.1573835616438356
ACT-USD,2024-10-31,2024-11-01,0.0008319999906234443,2024-11-06,0.0009567999892169609,SL,5,-0.14999999999999988,strict,4,S3,primary,-0.15182191780821908,-0.15382191780821908,-0.15682191780821908,-0.16282191780821909,-0.15341095890410947,-0.15382191780821908,-0.1543698630136985,-0.15573972602739714
TNSR-USD,2024-12-31,2025-01-01,0.43421000242233276,2025-01-05,0.4993415027856826,SL,4,-0.14999999999999988,strict,4,S3,primary,-0.15165753424657522,-0.15365753424657522,-0.15665753424657522,-0.16265753424657522,-0.15332876712328755,-0.15365753424657522,-0.15409589041095878,-0.1551917808219177
CHILLGUY-USD,2024-12-31,2025-01-01,0.15807700157165527,2025-01-02,0.18178855180740355,SL,1,-0.14999999999999994,strict,4,S3,primary,-0.15116438356164377,-0.15316438356164377,-0.15616438356164378,-0.16216438356164378,-0.15308219178082186,-0.15316438356164377,-0.15327397260273967,-0.1535479452054794
PNUT-USD,2024-12-31,2025-01-01,0.6710609793663025,2025-01-04,0.7717201262712478,SL,3,-0.14999999999999983,strict,4,S3,primary,-0.15149315068493133,-0.15349315068493133,-0.15649315068493133,-0.16249315068493134,-0.15324657534246558,-0.15349315068493133,-0.15382191780821902,-0.15464383561643819
