symbol,recon_date,entry_date,entry_price,exit_date,exit_price,exit_type,hold_days,gross_return,toxic_type,conditions_met,exit_struct,label,net_optimistic,net_base,net_conservative,net_stress,net_base_fund_low,net_base_fund_base,net_base_fund_high,net_base_fund_extreme
WIF-USD,2024-03-31,2024-04-01,4.588222026824951,2024-04-05,3.4411665201187134,TP,4,0.25,random,0,S3,random,0.24834246575342467,0.24634246575342467,0.24334246575342466,0.23734246575342466,0.24667123287671233,0.24634246575342467,0.2459041095890411,0.24480821917808218
BONK-USD,2024-03-31,2024-04-01,2.8000000384054147e-05,2024-04-05,2.100000028804061e-05,TP,4,0.25,random,0,S3,random,0.24834246575342467,0.24634246575342467,0.24334246575342466,0.23734246575342466,0.24667123287671233,0.24634246575342467,0.2459041095890411,0.24480821917808218
JTO-USD,2024-03-31,2024-04-01,4.099878787994385,2024-04-02,4.714860606193542,SL,1,-0.14999999999999997,random,0,S3,random,-0.1511643835616438,-0.1531643835616438,-0.1561643835616438,-0.1621643835616438,-0.15308219178082189,-0.1531643835616438,-0.1532739726027397,-0.15354794520547943
PYTH-USD,2024-03-31,2024-04-01,1.0004669427871704,2024-04-10,0.7503502070903778,TP,9,0.25,random,0,S3,random,0.24752054794520548,0.24552054794520548,0.24252054794520547,0.23652054794520547,0.24626027397260275,0.24552054794520548,0.24453424657534245,0.24206849315068493
ORCA-USD,2024-03-31,2024-04-01,4.17210578918457,2024-04-10,3.1290793418884277,TP,9,0.25,random,0,S3,random,0.24752054794520548,0.24552054794520548,0.24252054794520547,0.23652054794520547,0.24626027397260275,0.24552054794520548,0.24453424657534245,0.24206849315068493
RENDER-USD,2024-03-31,2024-04-01,10.658348083496094,2024-04-12,7.99376106262207,TP,11,0.25,random,0,S3,random,0.2471917808219178,0.2451917808219178,0.2421917808219178,0.2361917808219178,0.2460958904109589,0.2451917808219178,0.24398630136986302,0.24097260273972604
JUP-USD,2024-03-31,2024-04-01,0.001193000003695488,2024-04-03,0.001371950004249811,SL,2,-0.14999999999999988,random,0,S3,random,-0.15132876712328755,-0.15332876712328755,-0.15632876712328755,-0.16232876712328756,-0.15316438356164372,-0.15332876712328755,-0.15354794520547935,-0.15409589041095878
KMNO-USD,2024-03-31,2024-04-30,0.04274599999189377,2024-05-01,0.04915789999067783,SL,1,-0.1499999999999999,random,0,S3,random,-0.15116438356164374,-0.15316438356164375,-0.15616438356164375,-0.16216438356164375,-0.15308219178082183,-0.15316438356164375,-0.15327397260273964,-0.15354794520547937
FARTCOIN-USD,2024-03-31,2024-10-23,0.06218799948692322,2024-10-24,0.07151619940996169,SL,1,-0.14999999999999986,random,0,S3,random,-0.1511643835616437,-0.1531643835616437,-0.1561643835616437,-0.1621643835616437,-0.15308219178082177,-0.1531643835616437,-0.1532739726027396,-0.15354794520547932
ZEREBRO-USD,2024-03-31,2024-11-30,0.4539720118045807,2024-12-01,0.3404790088534355,TP,1,0.25,random,0,S3,random,0.24883561643835617,0.24683561643835616,0.24383561643835616,0.23783561643835616,0.24691780821917808,0.24683561643835616,0.24672602739726027,0.24645205479452054
BOME-USD,2024-03-31,2024-04-01,0.014545000158250332,2024-04-02,0.01672675018198788,SL,1,-0.15,random,0,S3,random,-0.15116438356164383,-0.15316438356164383,-0.15616438356164383,-0.16216438356164384,-0.1530821917808219,-0.15316438356164383,-0.15327397260273973,-0.15354794520547946
CLOUD-USD,2024-03-31,2024-04-01,0.0005549999768845737,2024-04-02,0.0004162499826634303,TP,1,0.25,random,0,S3,random,0.24883561643835617,0.24683561643835616,0.24383561643835616,0.23783561643835616,0.24691780821917808,0.24683561643835616,0.24672602739726027,0.24645205479452054
TNSR-USD,2024-03-31,2024-04-08,2.255194902420044,2024-04-09,1.691396176815033,TP,1,0.25,random,0,S3,random,0.24883561643835617,0.24683561643835616,0.24383561643835616,0.23783561643835616,0.24691780821917808,0.24683561643835616,0.24672602739726027,0.24645205479452054
