run_id,observer_name,lane,fire_id,fire_time_utc,signal_symbol,signal_mint,control_symbol,control_mint,signal_net_1m,control_net_1m,delta_1m,signal_net_5m,control_net_5m,delta_5m,signal_net_15m,control_net_15m,delta_15m,signal_net_30m,control_net_30m,delta_30m,signal_entry_r_m5,control_entry_r_m5,signal_entry_rv5m,control_entry_rv5m,signal_entry_vol_h1,control_entry_vol_h1,signal_entry_liquidity,control_entry_liquidity,row_valid_signal,row_valid_control,signal_fwd_jitter_5m_sec,control_fwd_jitter_5m_sec,outlier_flag
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,48801c49,2026-03-09T06:30:00+00:00,CUM,HEXtssmwxZ2STVLPYXjspCSwPd27irDz6mDBLkLvpump,XPD,26HijyQRPisA96er6xWLh32TSMAHLvivTnmcmu7bpump,-0.02590590000000003,-0.02244319999999999,-0.0034627000000000407,-0.02590590000000003,-0.02244319999999999,-0.0034627000000000407,-0.10325119999999997,0.007682799999999998,-0.11093399999999998,0.30939059999999996,0.00472629999999997,0.3046643,-18.58,2.69,3.386869164383519,0.9311611308280602,97934.74,55857.5,33183.02,79580.95,1,1,222,223,0
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,d45f4bf9,2026-03-09T06:45:00+00:00,Mirabel,C9THkVKhdTUAaw5BScagHPiFXvFdqj7JrSxUkeicpump,Dust,38JepT8P7N1AUS996QRqNLAewiPvFoNWxrPY7DR2pump,0.023794600000000006,-0.035884200000000026,0.05967880000000003,-0.02642390000000005,-0.045652699999999984,0.019228799999999935,-0.06307899999999998,-0.07146620000000002,0.008387200000000039,-0.012581799999999968,0.025837099999999953,-0.03841889999999992,-15.87,3.82,3.0238774681479748,0.4736718332583599,12926.04,15448.83,22999.52,29410.22,1,1,7,9,0
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,37e5ad5b,2026-03-09T07:00:00+00:00,NICK,DLYbj1sz9WtgUrm4Y2PkrokmHfSrWN7nz6LE8mQjpump,pedgy,EG6zP6zWJjcNz563nAjcmNQYhkwbqVbDFpRsWx11pump,-0.024902300000000037,-0.034011099999999954,0.009108799999999917,-0.12980049999999999,-0.04762069999999995,-0.08217980000000003,-0.10179040000000004,-0.11220510000000004,0.010414699999999999,0.032845199999999915,-0.13293259999999996,0.16577779999999986,-6.76,5.03,1.471935405465213,1.0552347196412197,30465.15,18291.2,50038.01,42421.88,1,1,6,6,0
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,7df746ba,2026-03-09T07:15:00+00:00,FMC,FXDXLCWYMXmhhMypVxGHCC2sHA8n9d2fHhePViAYpump,CUM,HEXtssmwxZ2STVLPYXjspCSwPd27irDz6mDBLkLvpump,0.006897299999999893,-0.05781389999999997,0.06471119999999986,-0.024224200000000022,-0.17752809999999997,0.15330389999999994,0.06222649999999997,-0.3325895,0.39481599999999994,-0.1516733,-0.17107629999999996,0.019402999999999948,-8.5,10.33,1.1574333205970846,3.963242408470883,28548.35,41606.18,41632.12,40667.65,1,1,2,3,1
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,ea9f187a,2026-03-09T07:30:00+00:00,CUM,HEXtssmwxZ2STVLPYXjspCSwPd27irDz6mDBLkLvpump,FMC,FXDXLCWYMXmhhMypVxGHCC2sHA8n9d2fHhePViAYpump,-0.12662910000000005,-0.10602679999999996,-0.020602300000000087,-0.1363837,-0.04731209999999996,-0.08907160000000003,0.21481440000000007,-0.2218192,0.43663360000000007,0.4439097000000001,-0.22653239999999997,0.6704421,-6.42,12.81,2.921307443215573,1.1363743942251612,32176.13,34872.21,35245.68,44480.24,1,1,8,9,0
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,027df62a,2026-03-09T07:45:00+00:00,FMC,FXDXLCWYMXmhhMypVxGHCC2sHA8n9d2fHhePViAYpump,CUM,HEXtssmwxZ2STVLPYXjspCSwPd27irDz6mDBLkLvpump,-0.01702499999999995,0.012933300000000045,-0.029958299999999993,-0.03866380000000002,0.053625700000000005,-0.09228950000000002,-0.02288480000000003,0.17936489999999994,-0.20224969999999998,0.051522899999999934,0.2674193,-0.2158964000000001,-3.83,11.17,1.5636816888830385,2.41510063515571,47580.63,48746.6,39184.35,39641.54,1,1,4,5,0
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,ff30e40a,2026-03-09T08:00:00+00:00,NICK,DLYbj1sz9WtgUrm4Y2PkrokmHfSrWN7nz6LE8mQjpump,FMC,FXDXLCWYMXmhhMypVxGHCC2sHA8n9d2fHhePViAYpump,-0.022970999999999957,-0.013971900000000028,-0.008999099999999928,-0.08378589999999995,-0.018179700000000014,-0.06560619999999995,-0.14581750000000004,0.052569799999999896,-0.19838729999999993,-0.18250600000000006,-0.02550090000000004,-0.1570051,-5.93,4.22,1.7923573590058288,1.630538350705874,47124.45,52741.31,51015.12,39056.73,1,1,2,3,0
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,0493a130,2026-03-09T08:15:00+00:00,abcdefg,89S7oVB4hui8ceJqhHreWB7fcxdthfvoB7z2pfJtpump,pedgy,EG6zP6zWJjcNz563nAjcmNQYhkwbqVbDFpRsWx11pump,-0.012938100000000055,-0.04230829999999996,0.029370199999999902,-0.021746799999999948,-0.05198409999999997,0.030237300000000022,-0.03868110000000002,-0.11082670000000004,0.07214560000000003,0.0008752999999999209,-0.0913739,0.09224919999999992,-4.16,20.71,0.9647721673383418,4.60211613930885,20999.89,26159.69,52000.66,49177.16,1,1,9,9,0
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,c46a9526,2026-03-09T08:30:00+00:00,NICK,DLYbj1sz9WtgUrm4Y2PkrokmHfSrWN7nz6LE8mQjpump,XPD,26HijyQRPisA96er6xWLh32TSMAHLvivTnmcmu7bpump,-0.16846879999999997,-0.057107800000000035,-0.11136099999999993,-0.0966017,-0.026385600000000002,-0.0702161,-0.11778639999999994,-0.12118969999999994,0.003403299999999998,-0.18336490000000005,-0.10257789999999999,-0.08078700000000007,-8.81,6.89,2.3910947623071372,1.461009781348883,47886.57,61371.9,46896.57,62850.98,1,1,5,6,0
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,8221e25f,2026-03-09T08:45:00+00:00,NICK,DLYbj1sz9WtgUrm4Y2PkrokmHfSrWN7nz6LE8mQjpump,Forehead,8mejbHqzKhPZvZ6j3vikLrbi4GsggZ3UJrBcYdGvpump,-0.03060799999999996,-0.029092699999999964,-0.0015152999999999972,-0.02597570000000004,-0.06407550000000005,0.03809980000000001,-0.10303890000000003,-0.19341470000000005,0.09037580000000002,0.2536897,-0.12612960000000006,0.3798193000000001,-4.56,15.69,1.0389433529485825,5.076156560463222,33343.94,27908.78,43173.56,38156.35,1,1,1,3,0
99ed0fd1,pfm_reversion_observer_v1,pumpfun_mature,d9887839,2026-03-09T09:00:00+00:00,Forehead,8mejbHqzKhPZvZ6j3vikLrbi4GsggZ3UJrBcYdGvpump,CUM,HEXtssmwxZ2STVLPYXjspCSwPd27irDz6mDBLkLvpump,-0.04226720000000005,-0.1735405,0.13127329999999993,-0.028633000000000013,-0.11279789999999999,0.08416489999999999,0.045568599999999966,-0.08501400000000002,0.1305826,0.10259010000000003,0.08967189999999993,0.012918200000000102,-11.14,32.1,2.7770836647425305,5.957432653810191,36847.19,37927.08,34071.17,44046.53,1,1,0,1,0
