hypothesis,horizon,n,mean,median,wins_mean,pct_pos,ci_mean_lo,ci_mean_hi,ci_median_lo,ci_median_hi,top1_share,top3_share,g1_n,g2_wins_mean,g3_median,g4_ci_lower,g5_top1,g6_top3,all_pass
H1,+15m,1984,0.0008543597839525698,-0.0004959784029851031,0.000340020626209728,0.3019153225806452,0.0005441633324617815,0.0011914748947112822,-0.0005102213862116406,-0.00047640081773565207,0.038721647041112583,0.08654454341342763,True,True,False,True,True,True,False
H1,+1h,1984,0.0006517836188722697,-0.0005478811971003792,0.0004604232573890709,0.3311491935483871,-0.0008058366271564377,0.002226072963272718,-0.00057451918054743,-0.000512251036539661,0.029398017665913687,0.0683463639646294,True,True,False,False,True,True,False
H1,+4h,1984,0.010224109262073238,-0.0001514064835076337,0.005815254033080123,0.4753024193548387,0.005176985672914991,0.015936675966209086,-0.00029552288520259796,-2.7192694546644258e-05,0.03553969848509426,0.0777868743847758,True,True,False,True,True,True,False
H1_null,+15m,3968,0.0001385704551059433,-0.0005796362450598803,-0.00024613009458478884,0.1514616935483871,-1.2823271501677696e-05,0.00030523643957931556,-0.0005813019869782275,-0.0005779113579669826,0.029882591215797786,0.06678887419317311,True,False,False,False,True,True,False
H1_null,+1h,3968,5.272924031726024e-05,-0.0005725150528202652,-0.00012050918889467457,0.17590725806451613,-0.0007054137564730788,0.0008202863132813252,-0.0005773011000491503,-0.0005679176848084633,0.027717906021771817,0.06444033454330299,True,False,False,False,True,True,False
H1_null,+4h,3968,0.004910302997044455,-0.00048126025270796107,0.0022105245473126567,0.3092237903225806,0.0024808439599464716,0.0077586318778175515,-0.0004994129230753803,-0.0004612430492117838,0.03487837219269843,0.07633940838402964,True,True,False,True,True,True,False
H2_toxic,+15m,844,0.0016143558968911165,-0.0002875896116739664,0.0009981802355812136,0.4075829383886256,0.0009379209391302168,0.0023261151963743375,-0.0003625397376616009,-0.0002055118876615713,0.056660299397337764,0.12663820151566077,True,True,False,True,True,True,False
H2_toxic,+1h,844,-0.002121995221690801,-0.002010453134469051,-0.001987089885864265,0.30924170616113744,-0.005749623223055517,0.0010005591820169935,-0.0022130333977705627,-0.001843683591320896,0.037846910965265435,0.08798888350788941,True,False,False,False,True,True,False
H2_toxic,+4h,844,0.016756310965802622,0.0007990522260347859,0.010333138691918993,0.5485781990521327,0.005804615665379332,0.02909352444667176,0.00023351147258043132,0.0021699320461044573,0.04915718204146044,0.1075918960362699,True,True,True,True,True,True,True
H2_non_toxic,+15m,3124,-0.00026013726348134424,-0.0005826275263743593,-0.00046977637847581583,0.0822663252240717,-0.00033146133218375,-0.00017911926135416343,-0.0005838535399161605,-0.0005813019869782275,0.031533556489662544,0.06426674330452173,True,False,False,False,True,True,False
H2_non_toxic,+1h,3124,0.0006402668350467108,-0.0005618138249721403,-0.0001919253258801827,0.13988476312419976,0.00035905689555388334,0.0009857949642101715,-0.0005663704444064474,-0.0005578233246086337,0.05747033749693355,0.11741956152372102,True,False,False,True,True,True,False
H2_non_toxic,+4h,3124,0.0017099090387756037,-0.0005009169050858287,0.00018637523231711728,0.24455825864276567,0.00036010653018677655,0.003163802147121143,-0.0005142247555136889,-0.00048488700522479443,0.05871086590589325,0.11987512176259858,True,True,False,True,True,True,False
H3_launch,+15m,420,-0.0001407495803895756,-0.00024717682764151467,-0.00011439706717210847,0.3404761904761905,-0.00028242037842386,2.475435639363309e-06,-0.0002906916609287247,-0.00017743893835843775,0.02837384631562889,0.07333501516342268,True,False,False,False,True,True,False
H3_launch,+1h,420,-0.004389820253609274,-0.0005557708207514619,-0.0025982368035435263,0.4238095238095238,-0.006126016063040954,-0.002733083361978576,-0.0010296662318082094,-0.00015768973003010551,0.011614851951714316,0.031151431128642906,True,False,False,False,True,True,False
H3_launch,+4h,420,-0.01544145487248396,0.0005380795599984877,-0.008192959005847308,0.5238095238095238,-0.022527368160910975,-0.00950778564948259,-0.0006182130101368351,0.00211586556939992,0.007136809802510527,0.016507735350036582,True,False,True,False,True,True,False
H3_standard,+15m,3548,0.000171635397301016,-0.0005829665080516082,-0.000257627583728087,0.12908680947012402,-9.597920701183718e-06,0.0003714328085978501,-0.0005842142689816351,-0.0005815597808323443,0.03197332604894197,0.07146175629813364,True,False,False,False,True,True,False
H3_standard,+1h,3548,0.000578622923363806,-0.0005726180859685086,0.00010076924524803395,0.14656144306651633,-0.00021051110095614793,0.0013492496116514101,-0.0005767616314212793,-0.0005677437535118466,0.03271840992076514,0.07606582111083492,True,True,False,False,True,True,False
H3_standard,+4h,3548,0.007319473883516251,-0.0004874678581307409,0.002972465792968536,0.28382187147688837,0.004573569011571964,0.010351251003979147,-0.0005025374003451244,-0.000468684251047213,0.04161575195284374,0.09108572687924026,True,True,False,True,True,True,False
