feature,coverage,n_valid,best_bucket,mean_gross,mean_net,med_gross,med_net,pct_pos_net,tercile_diff,ci_mean_lo,ci_mean_hi,ci_med_lo,ci_med_hi,outlier_count,top1_share,top3_share,rec
median_pool_r_m5,1.0,2350,top,0.44030305867346936,0.4351589566326531,0.0,-0.0051375,0.16709183673469388,0.4448906167833033,-0.0050243558673469385,1.3093596147959183,-0.005181,-0.005112500000000001,1,0.9201101739622908,0.9257315751952933,SKIP
breadth_positive_pct,1.0,2350,top,0.4404049693877551,0.4352574081632653,0.0,-0.0051375,0.17729591836734693,0.4443570600646389,-0.004823998724489796,1.3090141581632653,-0.00519,-0.005112500000000001,1,0.920210467378278,0.9258324813526112,SKIP
impact_buy_pct,1.0,2350,mid,0.4344101890166028,0.4293297994891443,0.0,-0.005099,0.18646232439335889,-0.0032409145408163267,-0.010295415070242658,1.304144349936143,-0.005105,-0.005094,1,0.9222768216376358,0.9263096601382587,SKIP
impact_sell_pct,1.0,2350,mid,0.4339848710089399,0.42890448403575987,0.0,-0.005099,0.18646232439335889,-0.0030693184572679645,-0.010802326947637294,1.3029146155810982,-0.005105,-0.005094,1,0.9219351700847846,0.9259665146461651,SKIP
round_trip_pct,1.0,2350,mid,0.4341072503192848,0.42902686206896545,0.0,-0.005099,0.18646232439335889,-0.002946939146923137,-0.010727659003831417,1.302897909323116,-0.005104,-0.005094,1,0.9216849932350448,0.9257152438484827,SKIP
liquidity_usd,1.0,2350,mid,0.4350578301404853,0.42997776756066414,0.0,-0.005098,0.18646232439335889,0.0010223119738316782,-0.009184173690932312,1.303481980842912,-0.005102,-0.005093,1,0.923839887989232,0.92642319788259,SKIP
pool_dispersion_r_m5,1.0,2350,bot,0.4357257650063857,0.43059601404853126,0.0,-0.005197,0.1392081736909323,-0.4341828287818959,-0.010549143039591315,1.3069611404853128,-0.005224,-0.005149,1,0.9112743221281611,0.9165737021381439,SKIP
vol_h1,1.0,2350,mid,0.4303268378033205,0.42517144061302686,0.0,-0.005204,0.17496807151979565,0.0008047050101649857,-0.014885383141762453,1.2998143588761175,-0.00522,-0.005172,1,0.9210423858214458,0.925906433414122,SKIP
age_hours,1.0,2350,bot,0.4293230076628352,0.4240630893997446,0.0,-0.005201,0.19029374201787994,-0.42916674108120256,-0.019685052362707536,1.3022150076628352,-0.005219,-0.005178,1,0.8549078134017214,0.8605467869864705,SKIP
jup_vs_cpamm_diff_pct,0.9995744680851064,2349,mid,0.43550477522349934,0.4304109616858237,0.0,-0.005101,0.2120051085568327,-0.00411608429118774,-0.00979381098339719,1.304639877394636,-0.00512,-0.005094,1,0.9089999496343848,0.9130156956274147,SKIP
r_m5,0.7804255319148936,1834,top,0.576899385620915,0.5717071764705882,0.0,-0.005134,0.25326797385620914,0.597354609843501,0.006691070261437909,1.693057517973856,-0.005166499999999999,-0.00512,1,0.9012838476280475,0.9072287176239278,SKIP
vol_accel_m5_vs_h1,0.7804255319148936,1834,mid,0.5474473240589198,0.5422600785597381,0.0,-0.005189,0.19967266775777415,0.01935198365210787,-0.023126006546644845,1.6632221342062192,-0.005217,-0.005158,1,0.9041374931794784,0.9093953700243366,SKIP
txn_accel_m5_vs_h1,0.7804255319148936,1834,top,0.5615701993464052,0.5564299428104575,0.0,-0.0051424999999999995,0.17320261437908496,0.5676858949274199,-0.007707011437908498,1.6768525359477122,-0.005179,-0.005119500000000001,1,0.9121026712930383,0.9180195004615883,SKIP
liq_change_pct,0.7804255319148936,1834,top,0.5648594264705882,0.5597107859477124,0.0,-0.0051295,0.2222222222222222,0.57764545593049,-0.004787743464052288,1.67856775,-0.005152,-0.005114,1,0.9077030122255814,0.9136902230435179,SKIP
avg_trade_usd_m5,0.7097872340425532,1668,bot,0.6032258920863309,0.5979750503597122,0.0,-0.005234,0.17266187050359713,-0.5889839946043165,-0.02158838309352518,1.8293368830935253,-0.005252,-0.0052155,1,0.9279109586373459,0.9316417538265542,SKIP
buy_sell_ratio_m5,0.7097872340425532,1668,top,0.6083103399280576,0.6031510935251799,0.0,-0.005174,0.17446043165467626,0.6084958723021583,-0.017215794964028776,1.8343668651079137,-0.005208,-0.0051335,1,0.9249558330096054,0.9310568434666824,SKIP
signed_flow_m5,0.7097872340425532,1668,top,0.6083103399280576,0.6031510935251799,0.0,-0.005174,0.17446043165467626,0.6084958723021583,-0.017528723021582735,1.8355004136690647,-0.0052085,-0.0051335,1,0.9249558330096054,0.9310568434666824,SKIP
