feature,coverage,n_valid,best_bucket,mean_gross,mean_net,med_gross,med_net,pct_pos_net,tercile_diff,ci_mean_lo,ci_mean_hi,ci_med_lo,ci_med_hi,outlier_count,top1_share,top3_share,rec
median_pool_r_m5,1.0,2193,top,0.9442395335157319,0.9391074815321477,0.000604,-0.004636,0.34062927496580025,0.958128025991792,0.0015840533515731863,2.3421688522571817,-0.005578,-0.003463,2,0.4621092611534641,0.9258159224006437,SKIP
breadth_positive_pct,1.0,2193,top,0.9444112093023256,0.9392776114911081,0.001071,-0.003998,0.35294117647058826,0.9598079904240766,0.002076781121751026,2.3417176703146376,-0.0051340000000000005,-0.0031509999999999997,2,0.4625203795769932,0.9266395803847867,SKIP
impact_buy_pct,1.0,2193,mid,0.9324362517099863,0.927361365253078,0.000167,-0.004858,0.36388508891928867,-0.008954549931600546,-0.008527374829001368,2.329015876880985,-0.005679,-0.003819,2,0.4664209444188179,0.9342136151526651,SKIP
impact_sell_pct,1.0,2193,mid,0.9324433242134061,0.9273684363885087,0.000337,-0.004687,0.36388508891928867,-0.008947477428180573,-0.008681883720930232,2.329563393980848,-0.005667,-0.0037300000000000007,2,0.4664259819766262,0.9342237050835482,SKIP
round_trip_pct,1.0,2193,mid,0.9316021792065663,0.9265272886456908,0.0,-0.005024,0.36114911080711354,-0.008151199726402188,-0.009414704514363886,2.327059677154583,-0.005768,-0.00383,2,0.46632923251344593,0.9340299216206844,SKIP
liquidity_usd,1.0,2193,mid,0.9349210478796169,0.9298471108071135,0.0,-0.005011,0.3625170998632011,0.004516227086183311,-0.005895441860465115,2.3311027879616963,-0.005768,-0.00383,2,0.4673536347459892,0.9353763967208868,SKIP
pool_dispersion_r_m5,1.0,2193,bot,0.4667602941176471,0.4616383351573188,-0.000341,-0.005383,0.3009575923392613,-0.45997810123119015,-0.01246808071135431,1.4000598768809849,-0.006131,-0.005088,1,0.8655982825912797,0.8706320404005935,SKIP
vol_h1,1.0,2193,mid,0.9218812476060191,0.9167443885088918,-0.000251,-0.0053609999999999994,0.3337893296853625,0.002974673050615595,-0.020010644322845418,2.3183345184678523,-0.006540000000000001,-0.00443,2,0.46375525892813957,0.9288744044913393,SKIP
age_hours,1.0,2193,bot,0.9206742462380301,0.9154397770177838,-0.008273,-0.013431000000000002,0.4213406292749658,-0.9204673255813953,-0.025386238030095758,2.3205241819425444,-0.021765,-0.005223,2,0.42916690758754655,0.8598173415097281,SKIP
jup_vs_cpamm_diff_pct,0.9995440036479708,2192,mid,0.4733628301369863,0.4682783534246575,0.0002815,-0.0047285,0.4,0.4512054499887716,-0.006135757534246575,1.4104491643835617,-0.005535,-0.0029519999999999998,1,0.8543143695776908,0.8592825074725545,SKIP
r_m5,0.7724578203374373,1694,top,1.2522944505300353,1.2471130106007067,0.0195625,0.014401,0.5424028268551236,1.3032318742889006,0.03529854946996466,3.0581035618374557,0.0013109999999999997,0.023628,2,0.4523956254126125,0.9063550732265045,SKIP
vol_accel_m5_vs_h1,0.7724578203374373,1694,top,0.6234335671378091,0.6183037508833922,0.0009130000000000001,-0.004201999999999999,0.43109540636042404,0.6383625635917097,0.004745491166077737,1.8316210406360423,-0.006131,-0.0019290000000000002,1,0.8473998435492267,0.8529892945503595,SKIP
txn_accel_m5_vs_h1,0.7724578203374373,1694,top,1.212210393992933,1.2070832190812721,0.0,-0.005137,0.3992932862190813,1.2238019649149188,-0.003969123674911661,3.0204687332155475,-0.007795,-0.0030354999999999996,2,0.45991157890896783,0.92141296105498,SKIP
liq_change_pct,0.7724578203374373,1694,top,1.215711477031802,1.2105796625441696,0.0008575,-0.0041375000000000006,0.43286219081272087,1.2383953334147808,-0.0010923180212014127,3.0214826148409895,-0.006311,-0.0021604999999999997,2,0.4566186641008759,0.9148157486277054,SKIP
avg_trade_usd_m5,0.7013223894208847,1538,top,0.6828650544747081,0.6777871575875486,0.001143,-0.0038519999999999995,0.41050583657587547,0.038411468537208115,0.004832531128404669,2.0119714941634244,-0.00552,-0.0019350000000000003,1,0.8887656239269673,0.8945310651795411,SKIP
buy_sell_ratio_m5,0.7013223894208847,1538,top,1.3342361712062256,1.329089612840467,0.0,-0.00529,0.38132295719844356,1.3454823938624756,-0.003749922178988328,3.321398151750973,-0.007773,-0.004543,2,0.4677566267325489,0.9371301751375039,SKIP
signed_flow_m5,0.7013223894208847,1538,top,1.3342361712062256,1.329089612840467,0.0,-0.00529,0.38132295719844356,1.3454823938624756,-0.003020402723735409,3.3228480038910506,-0.007773,-0.004543,2,0.4677566267325489,0.9371301751375039,SKIP
