feature,coverage,n_valid,best_bucket,mean_gross,mean_net,med_gross,med_net,pct_pos_net,tercile_diff,ci_mean_lo,ci_mean_hi,ci_med_lo,ci_med_hi,outlier_count,top1_share,top3_share,rec
median_pool_r_m5,1.0,2350,top,0.0059497168367346935,0.0008067334183673462,0.0,-0.0051375,0.16709183673469388,0.4448906167833033,-0.005048035714285714,0.006908590561224489,-0.005182,-0.005112500000000001,29,0.01785638900148685,0.05356916700446056,SKIP
breadth_positive_pct,1.0,2350,top,0.006051627551020408,0.0009051849489795912,0.0,-0.0051375,0.17729591836734693,0.4443570600646389,-0.005078909438775511,0.0071714451530612245,-0.00519,-0.005112500000000001,29,0.017882584997834305,0.05364775499350292,SKIP
impact_buy_pct,1.0,2350,mid,0.00017182758620689647,-0.004908613026819923,0.0,-0.005099,0.18646232439335889,-0.0032409145408163267,-0.009808232439335887,9.683652618135404e-05,-0.005104,-0.005094,31,0.010155692812137332,0.030467078436412002,SKIP
impact_sell_pct,1.0,2350,mid,-0.00018109706257982117,-0.005260817369093232,0.0,-0.005099,0.18646232439335889,-0.0030693184572679645,-0.010191816091954022,-0.00033521072796934855,-0.005105,-0.005094,31,0.01020939096561981,0.030628172896859433,SKIP
round_trip_pct,1.0,2350,mid,-5.871775223499358e-05,-0.005138439335887612,0.0,-0.005099,0.18646232439335889,-0.002946939146923137,-0.009895798212005109,-9.655938697318025e-05,-0.005104,-0.005094,31,0.010171867874395977,0.03051560362318793,SKIP
liquidity_usd,1.0,2350,mid,8.928480204342197e-06,-0.005071140485312899,0.0,-0.005098,0.18646232439335889,0.0010223119738316782,-0.009846717752234993,-0.0001569029374201786,-0.005102,-0.005093,30,0.01015209241978058,0.030456277259341743,SKIP
pool_dispersion_r_m5,1.0,2350,bot,0.0009477407407407409,-0.0041824482758620685,0.0,-0.005197,0.1392081736909323,-0.4341828287818959,-0.010855310344827587,0.0028424763729246495,-0.005224,-0.005149,25,0.018741535823076725,0.05622460746923017,SKIP
vol_h1,1.0,2350,mid,-0.002767385696040868,-0.007932043422733077,0.0,-0.005204,0.17496807151979565,0.0008047050101649857,-0.013161982120051086,-0.0028123231162196674,-0.00522,-0.005172,33,0.012066280910978154,0.03619884273293446,SKIP
age_hours,1.0,2350,bot,-0.004882,-0.010143702426564495,0.0,-0.005201,0.19029374201787994,-0.42916674108120256,-0.020329246487867176,4.383397190293788e-05,-0.005219,-0.005177,24,0.01242122676637595,0.037263680299127855,SKIP
jup_vs_cpamm_diff_pct,0.9995744680851064,2349,mid,0.00025874329501915735,-0.004835495530012771,0.0,-0.005101,0.2120051085568327,-0.00411608429118774,-0.010777973180076627,0.0013387777777777777,-0.00512,-0.005094,27,0.011919847578543552,0.03575954273563066,SKIP
r_m5,0.7804255319148936,1834,top,0.019054553921568625,0.013866308823529412,0.0,-0.005134,0.25326797385620914,0.597354609843501,0.005127944444444445,0.022821857843137255,-0.005167,-0.0051205,22,0.014768986045291383,0.04430695813587415,SKIP
vol_accel_m5_vs_h1,0.7804255319148936,1834,mid,-0.011152468085106382,-0.016337032733224222,0.0,-0.005189,0.19967266775777415,0.01935198365210787,-0.024677515548281504,-0.007956427168576105,-0.005217,-0.005158,21,0.011869391002481725,0.035608173007445176,SKIP
txn_accel_m5_vs_h1,0.7804255319148936,1834,top,0.004653236928104575,-0.0004850996732026145,0.0,-0.0051424999999999995,0.17320261437908496,0.5676858949274199,-0.009117995098039216,0.008169135620915032,-0.005179,-0.0051175,25,0.01608141477142428,0.04824424431427284,SKIP
liq_change_pct,0.7804255319148936,1834,top,0.00712748366013072,0.0019809101307189554,0.0,-0.0051295,0.2222222222222222,0.57764545593049,-0.007064996732026143,0.011285807189542486,-0.005152,-0.0051135,16,0.01741239086730196,0.05223717260190587,SKIP
avg_trade_usd_m5,0.7097872340425532,1668,bot,-0.00826944964028777,-0.01351858273381295,0.0,-0.005234,0.17266187050359713,-0.5889839946043165,-0.021464920863309353,-0.005683079136690647,-0.005251,-0.005217,20,0.016263317320309355,0.04878995196092806,SKIP
buy_sell_ratio_m5,0.7097872340425532,1668,top,-0.004995974820143885,-0.010152940647482015,0.0,-0.005174,0.17446043165467626,0.6084958723021583,-0.017918077338129498,-0.002197809352517986,-0.005208,-0.0051335,21,0.016091856916572903,0.04827557074971871,SKIP
signed_flow_m5,0.7097872340425532,1668,top,-0.004995974820143885,-0.010152940647482015,0.0,-0.005174,0.17446043165467626,0.6084958723021583,-0.017810062949640288,-0.0022647931654676263,-0.0052085,-0.005133,21,0.016091856916572903,0.04827557074971871,SKIP
