feature,track,total_rows,present,coverage_pct,best_bucket_gross_mean,best_bucket_net_mean,best_bucket_gross_median,tercile_diff_gross,tercile_diff_net,quintile_top_gross,quintile_bot_gross,quintile_top_net,quintile_bot_net,outlier_top_share,outlier_risk,recommendation
jup_vs_cpamm_diff_pct,A,3774,3773,100.0,0.00168,-0.003414,0.0,0.001533,0.001239,-0.002343,0.000235,-0.007747,-0.004775,0.0261,LOW,SKIP
round_trip_pct,A,3774,3774,100.0,0.003357,-0.001974,0.0,0.003407,0.003078,0.004724,-1.7e-05,-0.00071,-0.005013,0.0261,LOW,SKIP
impact_buy_pct,A,3774,3774,100.0,0.003357,-0.001974,0.0,0.003483,0.003154,0.004598,2e-06,-0.000836,-0.004994,0.0261,LOW,SKIP
impact_sell_pct,A,3774,3774,100.0,0.003356,-0.001975,0.0,0.00348,0.003151,0.004724,-4e-06,-0.00071,-0.005001,0.0261,LOW,SKIP
breadth_positive_pct,A,3774,3774,100.0,0.005124,-2.2e-05,0.0,0.007216,0.007204,0.009051,5.4e-05,0.003906,-0.005087,0.0261,LOW,SKIP
median_pool_r_m5,A,3774,3774,100.0,0.005656,0.000508,0.0,0.009101,0.009087,0.00888,-0.005227,0.003733,-0.010365,0.0261,LOW,CANDIDATE
pool_dispersion_r_m5,A,3774,3774,100.0,0.001359,-0.003783,0.0,0.000126,0.000123,0.002184,-0.003096,-0.002958,-0.008232,0.0261,LOW,SKIP
age_hours,A,3774,3774,100.0,0.002146,-0.002982,0.0,-0.001213,-0.000941,-0.000133,0.001152,-0.005137,-0.004212,0.0261,LOW,SKIP
liquidity_usd,A,3774,3774,100.0,0.003183,-0.002149,0.0,-0.003309,-0.00298,-2.3e-05,0.004864,-0.005021,-0.00057,0.0261,LOW,SKIP
vol_h1,A,3774,3774,100.0,0.001786,-0.003321,0.0,-0.000598,-0.000628,-0.003371,0.001291,-0.008504,-0.00379,0.0261,LOW,SKIP
