horizon,feature,discovery_status,mean_net_proxy,median_net_proxy,ci_lower_mean,win_rate,top1_share,top3_share,coverage,all_gates_pass
15m,r_m5_micro,FAIL,0.027869,-0.005166,0.005286,0.2854,0.0174,0.0522,0.7729,False
1h,age_hours,FAIL,0.026274,-0.046529,-0.03188,0.4223,0.0117,0.035,1.0,False
30m,buys_m5,FAIL,0.025972,0.004112,-0.017295,0.5012,0.0131,0.0392,0.7729,False
1h,buy_sell_ratio_h1,FAIL,0.02555,-0.005069,-0.015156,0.4715,0.0166,0.0498,0.7498,False
1h,buy_count_ratio_h1,FAIL,0.02555,-0.005069,-0.015156,0.4715,0.0166,0.0498,0.7498,False
30m,sells_m5,FAIL,0.025445,0.004273,-0.01764,0.5095,0.0128,0.0384,0.7729,False
1h,pool_size_total,FAIL,0.025221,-0.002655,-0.000838,0.4105,0.0257,0.077,1.0,False
1h,vol_h24,FAIL,0.024967,-0.004057,-0.005364,0.4562,0.0209,0.0626,1.0,False
30m,avg_trade_usd_m5,FAIL,0.023157,-0.005542,-0.006673,0.4531,0.0155,0.0465,0.6883,False
1h,pool_liquidity_median,FAIL,0.022836,-0.005177,-0.006371,0.3281,0.023,0.0691,1.0,False
4h,vol_h1,FAIL,0.022634,-0.008399,-0.000931,0.3701,0.0552,0.1657,1.0,False
30m,txn_accel_m5_vs_h1,FAIL,0.022622,-0.00354,-0.003947,0.4387,0.0143,0.043,0.7498,False
4h,sells_m5_snap,FAIL,0.021865,-0.005513,-0.020077,0.4581,0.026,0.0781,1.0,False
30m,rv_1m,FAIL,0.021524,0.000384,-0.024239,0.5012,0.0128,0.0383,0.7706,False
4h,sells_m5,FAIL,0.021258,-0.013183,-0.043488,0.4315,0.0501,0.1503,0.7729,False
1h,buys_m5_snap,FAIL,0.021072,-0.026611,-0.033983,0.3924,0.0137,0.0412,1.0,False
15m,vol_accel_m5_vs_h1,FAIL,0.020966,-0.005113,0.001452,0.2685,0.0215,0.0646,0.7498,False
4h,buys_m5,FAIL,0.019471,-0.008047,-0.024723,0.4239,0.0337,0.1011,0.7729,False
4h,vol_accel_m5_vs_h1,FAIL,0.018999,-0.008646,-0.04654,0.442,0.032,0.0959,0.7498,False
1h,pool_vol_h1_median,FAIL,0.018697,-0.003232,-0.007472,0.3859,0.0126,0.0377,1.0,False
1h,sells_m5_snap,FAIL,0.018348,-0.005136,-0.011501,0.402,0.0143,0.0429,1.0,False
1h,breadth_negative_pct,FAIL,0.017274,-0.002673,-0.006451,0.4221,0.0175,0.0525,0.9858,False
1h,breadth_positive_pct,FAIL,0.016609,-0.003763,-0.006445,0.4046,0.0146,0.0438,0.9858,False
15m,sells_m5,FAIL,0.016,-0.005133,-0.009927,0.2629,0.0147,0.044,0.7729,False
4h,buys_h1,FAIL,0.015877,-0.012351,-0.049093,0.4542,0.0493,0.148,0.7729,False
4h,range_5m,FAIL,0.015358,-0.035398,-0.049999,0.4014,0.0522,0.1566,0.7706,False
1h,pool_size_with_micro,FAIL,0.014696,-0.002828,-0.020245,0.4053,0.0296,0.0887,1.0,False
4h,sells_h1,FAIL,0.01399,-0.006477,-0.027823,0.4452,0.0382,0.1147,0.7729,False
1h,pool_dispersion_r_m5,FAIL,0.013888,-0.006232,-0.014097,0.3491,0.0201,0.0604,0.9858,False
1h,coverage_ratio_micro,FAIL,0.012775,-0.003192,-0.010611,0.4089,0.0158,0.0473,1.0,False
15m,buys_m5,FAIL,0.012631,-0.005139,-0.015014,0.268,0.0142,0.0427,0.7729,False
15m,avg_trade_usd_m5,FAIL,0.012325,-0.005138,-0.009211,0.2304,0.0224,0.0673,0.6883,False
4h,txn_accel_m5_vs_h1,FAIL,0.012015,-0.010871,-0.048736,0.4565,0.0206,0.0618,0.7498,False
30m,buys_h1,FAIL,0.011685,-0.005542,-0.034791,0.4656,0.0129,0.0387,0.7729,False
5m,vol_accel_m5_vs_h1,FAIL,0.01154,-0.005121,-0.00243,0.1535,0.0314,0.0943,0.7498,False
1h,median_pool_r_m5,FAIL,0.011158,-0.004433,-0.004062,0.386,0.0062,0.0187,0.9858,False
1h,median_pool_rv5m,FAIL,0.010678,-0.007875,-0.018175,0.3307,0.0189,0.0567,0.9858,False
30m,rv_5m,FAIL,0.010278,-0.005649,-0.037092,0.4845,0.0114,0.0341,0.7706,False
5m,r_m5_micro,FAIL,0.009823,-0.005173,-0.007111,0.1357,0.0272,0.0815,0.7729,False
1h,liq_cliff_flag,FAIL,0.009681,-0.006136,-0.006003,0.4144,0.0041,0.0123,0.7729,False
30m,avg_trade_usd_h1,FAIL,0.009646,-0.006192,-0.022225,0.4619,0.0116,0.0347,0.7498,False
30m,pool_vol_h1_median,FAIL,0.00964,-0.004084,-0.011379,0.3685,0.0174,0.0521,1.0,False
30m,avg_trade_usd_m5_snap,FAIL,0.009596,-0.005275,-0.01146,0.4245,0.0115,0.0345,0.9049,False
30m,sells_h1,FAIL,0.009406,-0.005338,-0.037475,0.4726,0.0125,0.0374,0.7729,False
1h,liq_change_pct,FAIL,0.009395,-0.005988,-0.0066,0.4113,0.0046,0.0139,0.7706,False
15m,rv_1m,FAIL,0.009016,-0.005181,-0.019537,0.2477,0.017,0.0511,0.7706,False
30m,range_5m,FAIL,0.008938,-0.005537,-0.018011,0.4893,0.0115,0.0346,0.7706,False
